[09:24:05]  [-5.88262085e-05 -5.92425662e-03  4.06621133e+00]
[09:24:05] [YOLO] 訂閱 /camera/color/image_raw
[09:24:07] [YOLO] ✗ 未偵測到球  (miss:11)
[09:24:13] [YOLO] ✗ 未偵測到球  (miss:61)
[09:24:19] [YOLO] ✗ 未偵測到球  (miss:111)
[09:24:26] [YOLO] ✗ 未偵測到球  (miss:161)
[09:24:32] [YOLO] ✗ 未偵測到球  (miss:211)
[09:24:38] [YOLO] ✗ 未偵測到球  (miss:261)
[09:24:45] [YOLO] ✗ 未偵測到球  (miss:311)
[09:24:51] [YOLO] ✗ 未偵測到球  (miss:361)
[09:24:57] [YOLO] ✗ 未偵測到球  (miss:411)
[09:25:04] [YOLO] ✗ 未偵測到球  (miss:461)
[09:25:10] [YOLO] ✗ 未偵測到球  (miss:511)
[09:25:16] [YOLO] ✗ 未偵測到球  (miss:561)
[09:25:23] [YOLO] ✗ 未偵測到球  (miss:611)
[09:25:29] [YOLO] ✗ 未偵測到球  (miss:661)
[09:25:35] [YOLO] ✗ 未偵測到球  (miss:711)
[09:25:41] [YOLO] ✗ 未偵測到球  (miss:761)
[09:25:48] [YOLO] ✗ 未偵測到球  (miss:811)
[09:25:54] [YOLO] ✗ 未偵測到球  (miss:861)
[09:26:00] [YOLO] ✗ 未偵測到球  (miss:911)
[09:26:07] [YOLO] ✗ 未偵測到球  (miss:961)
