[05:06:03] [INFO] [1779656763.339002]: ==================================================
[05:06:03] [INFO] [1779656763.343491]: [Fusion] 節點啟動
[05:06:03] [INFO] [1779656763.347035]: [Fusion] 防守線 Y = 0.50 m
[05:06:03] [INFO] [1779656763.349803]: [Fusion] 訂閱 /ball_camera_world, /ball_lidar_world, /robot_pose
[05:06:03] [INFO] [1779656763.353247]: [Fusion] 發布 /cmd_vel
[05:06:03] [INFO] [1779656763.355581]: ==================================================
[05:06:03] [INFO] [1779656763.403172]: [Fusion] odom 原點記錄：X=-3.121
[05:06:03] [INFO] [1779656763.412844]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.00 誤差=+0.20
[05:06:04] [INFO] [1779656764.012483]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.06 誤差=+0.14
[05:06:04] [INFO] [1779656764.613184]: [PATROL-REL] 目標相對X=-0.20 目前相對X=+0.16 誤差=-0.36
[05:06:05] [INFO] [1779656765.212435]: [PATROL-REL] 目標相對X=-0.20 目前相對X=+0.07 誤差=-0.27
[05:06:05] [INFO] [1779656765.713111]: [PATROL-REL] 目標相對X=-0.20 目前相對X=-0.02 誤差=-0.18
[05:06:06] [INFO] [1779656766.312961]: [PATROL-REL] 目標相對X=+0.20 目前相對X=-0.12 誤差=-0.08
[05:06:06] [INFO] [1779656766.812885]: [PATROL-REL] 目標相對X=+0.20 目前相對X=-0.15 誤差=+0.35
[05:06:07] [INFO] [1779656767.412623]: [PATROL-REL] 目標相對X=+0.20 目前相對X=-0.04 誤差=+0.24
[05:06:07] [INFO] [1779656767.912685]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.04 誤差=+0.16
[05:06:08] [INFO] [1779656768.412853]: [PATROL-REL] 目標相對X=-0.20 目前相對X=+0.13 誤差=+0.07
[05:06:08] [INFO] [1779656768.912953]: [PATROL-REL] 目標相對X=-0.20 目前相對X=+0.13 誤差=-0.33
[05:06:09] [INFO] [1779656769.513088]: [PATROL-REL] 目標相對X=-0.20 目前相對X=+0.02 誤差=-0.22
[05:06:10] [INFO] [1779656770.112712]: [PATROL-REL] 目標相對X=-0.20 目前相對X=-0.08 誤差=-0.12
[05:06:10] [INFO] [1779656770.612874]: [PATROL-REL] 目標相對X=+0.20 目前相對X=-0.16 誤差=+0.36
[05:06:11] [INFO] [1779656771.212716]: [PATROL-REL] 目標相對X=+0.20 目前相對X=-0.10 誤差=+0.30
[05:06:11] [INFO] [1779656771.712850]: [PATROL-REL] 目標相對X=+0.20 目前相對X=-0.01 誤差=+0.21
[05:06:12] [INFO] [1779656772.313045]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.10 誤差=+0.10
