[01:20:40] [INFO] [1779729640.628671]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.37 誤差=-0.08
[01:20:41] [INFO] [1779729641.128812]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.41 誤差=+0.86
[01:20:41] [INFO] [1779729641.729064]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.31 誤差=+0.76
[01:20:42] [INFO] [1779729642.328534]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.20 誤差=+0.65
[01:20:42] [INFO] [1779729642.928596]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.10 誤差=+0.55
[01:20:43] [INFO] [1779729643.428645]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.00 誤差=+0.45
[01:20:44] [INFO] [1779729644.028986]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.11 誤差=+0.34
[01:20:44] [INFO] [1779729644.628612]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.22 誤差=+0.23
[01:20:45] [INFO] [1779729645.128624]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.31 誤差=+0.14
[01:20:45] [INFO] [1779729645.729013]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.41 誤差=-0.86
[01:20:46] [INFO] [1779729646.328918]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.34 誤差=-0.79
[01:20:46] [INFO] [1779729646.928577]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.23 誤差=-0.68
[01:20:47] [INFO] [1779729647.428565]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.14 誤差=-0.59
[01:20:47] [INFO] [1779729647.928574]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.05 誤差=-0.50
[01:20:48] [INFO] [1779729648.528486]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.06 誤差=-0.39
[01:20:49] [INFO] [1779729649.028619]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.15 誤差=-0.30
[01:20:49] [INFO] [1779729649.528724]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.24 誤差=-0.21
[01:20:50] [INFO] [1779729650.128535]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.36 誤差=-0.09
[01:20:50] [INFO] [1779729650.628612]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.41 誤差=+0.86
[01:20:51] [INFO] [1779729651.228689]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.32 誤差=+0.77
[01:20:51] [INFO] [1779729651.828424]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.22 誤差=+0.67
[01:20:52] [INFO] [1779729652.328508]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.13 誤差=+0.58
[01:20:52] [INFO] [1779729652.928555]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.02 誤差=+0.47
[01:20:53] [INFO] [1779729653.428509]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.07 誤差=+0.38
[01:20:53] [INFO] [1779729653.928559]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.16 誤差=+0.29
[01:20:54] [INFO] [1779729654.528507]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.28 誤差=+0.17
[01:20:55] [INFO] [1779729655.128609]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.39 誤差=+0.06
[01:20:55] [INFO] [1779729655.728394]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.37 誤差=-0.82
[01:20:56] [INFO] [1779729656.228656]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.28 誤差=-0.73
[01:20:56] [INFO] [1779729656.828583]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.18 誤差=-0.63
[01:20:57] [INFO] [1779729657.328630]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.09 誤差=-0.54
[01:20:57] [INFO] [1779729657.828725]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.00 誤差=-0.45
[01:20:58] [INFO] [1779729658.428537]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.11 誤差=-0.34
[01:20:58] [INFO] [1779729658.928476]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.21 誤差=-0.24
[01:20:59] [INFO] [1779729659.428554]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.30 誤差=-0.15
[01:21:00] [INFO] [1779729660.028635]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.40 誤差=+0.85
[01:21:00] [INFO] [1779729660.628540]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.36 誤差=+0.81
[01:21:01] [INFO] [1779729661.228520]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.26 誤差=+0.71
[01:21:01] [INFO] [1779729661.728657]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.17 誤差=+0.62
[01:21:02] [INFO] [1779729662.328598]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.06 誤差=+0.51
[01:21:02] [INFO] [1779729662.928397]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.05 誤差=+0.40
[01:21:03] [INFO] [1779729663.428575]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.14 誤差=+0.31
[01:21:04] [INFO] [1779729664.028631]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.26 誤差=+0.19
[01:21:04] [INFO] [1779729664.528608]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.35 誤差=+0.10
[01:21:05] [INFO] [1779729665.128538]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.41 誤差=-0.86
[01:21:05] [INFO] [1779729665.728683]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.31 誤差=-0.76
[01:21:06] [INFO] [1779729666.328865]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.20 誤差=-0.65
[01:21:06] [INFO] [1779729666.928491]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.09 誤差=-0.54
[01:21:07] [INFO] [1779729667.428468]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.00 誤差=-0.45
[01:21:07] [INFO] [1779729667.928501]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.10 誤差=-0.35
[01:21:08] [INFO] [1779729668.528473]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.21 誤差=-0.24
[01:21:09] [INFO] [1779729669.028573]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.30 誤差=-0.15
[01:21:09] [INFO] [1779729669.628471]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.41 誤差=+0.86
[01:21:10] [INFO] [1779729670.128537]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.38 誤差=+0.83
[01:21:10] [INFO] [1779729670.728447]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.28 誤差=+0.73
[01:21:11] [INFO] [1779729671.229027]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.19 誤差=+0.64
[01:21:11] [INFO] [1779729671.828605]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.08 誤差=+0.53
[01:21:12] [INFO] [1779729672.328575]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.02 誤差=+0.43
[01:21:12] [INFO] [1779729672.928714]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.13 誤差=+0.32
[01:21:13] [INFO] [1779729673.528611]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.24 誤差=+0.21
[01:21:14] [INFO] [1779729674.128556]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.35 誤差=+0.10
[01:21:14] [INFO] [1779729674.628711]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.41 誤差=-0.86
[01:21:15] [INFO] [1779729675.128704]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.34 誤差=-0.79
[01:21:15] [INFO] [1779729675.628750]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.25 誤差=-0.70
[01:21:16] [INFO] [1779729676.228554]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.15 誤差=-0.60
[01:21:16] [0m[33m[WARN] [1779729676.298229]: [Fusion] 節點關閉，發送停止指令
