[05:40:33] [INFO] [1779658833.450606]: ==================================================
[05:40:33] [INFO] [1779658833.457253]: [Fusion] 節點啟動
[05:40:33] [INFO] [1779658833.461132]: [Fusion] 防守線 Y = 0.50 m
[05:40:33] [INFO] [1779658833.466037]: [Fusion] 訂閱 /ball_camera_world, /ball_lidar_world, /robot_pose
[05:40:33] [INFO] [1779658833.469579]: [Fusion] 發布 /cmd_vel
[05:40:33] [INFO] [1779658833.472950]: ==================================================
[05:40:33] [INFO] [1779658833.489096]: [Fusion] odom 原點記錄：X=-3.288
[05:40:33] [33m[WARN] [1779658833.501382]: [Fusion] 定位收斂！var_x=0.0004 → 切換至絕對位置控制
[05:40:33] [INFO] [1779658833.523292]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.13 誤差=+0.32
[05:40:34] [INFO] [1779658834.122844]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.07 誤差=+0.38
[05:40:34] [INFO] [1779658834.622946]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.02 誤差=+0.47
[05:40:35] [INFO] [1779658835.222558]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.14 誤差=+0.59
[05:40:35] [INFO] [1779658835.822574]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.25 誤差=+0.70
[05:40:36] [INFO] [1779658836.422420]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.36 誤差=+0.81
[05:40:36] [INFO] [1779658836.922465]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.45 誤差=+0.90
[05:40:37] [INFO] [1779658837.522516]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.56 誤差=+1.01
[05:40:38] [INFO] [1779658838.022509]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.65 誤差=+1.10
[05:40:38] [INFO] [1779658838.522593]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.74 誤差=+1.19
[05:40:39] [INFO] [1779658839.123182]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.85 誤差=+1.30
[05:40:39] [INFO] [1779658839.722482]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.96 誤差=+1.41
[05:40:40] [INFO] [1779658840.222514]: [PATROL-ABS] 目標X=+0.45 機器人X=-1.05 誤差=+1.50
[05:40:40] [INFO] [1779658840.822628]: [PATROL-ABS] 目標X=+0.45 機器人X=-1.16 誤差=+1.61
[05:40:41] [INFO] [1779658841.422510]: [PATROL-ABS] 目標X=+0.45 機器人X=-1.28 誤差=+1.73
[05:40:42] [INFO] [1779658842.022622]: [PATROL-ABS] 目標X=+0.45 機器人X=-1.39 誤差=+1.84
[05:40:42] [INFO] [1779658842.622535]: [PATROL-ABS] 目標X=+0.45 機器人X=-1.51 誤差=+1.96
[05:40:43] [INFO] [1779658843.222818]: [PATROL-ABS] 目標X=+0.45 機器人X=-1.62 誤差=+2.07
[05:40:43] [INFO] [1779658843.822406]: [PATROL-ABS] 目標X=+0.45 機器人X=-1.74 誤差=+2.19
[05:40:44] [INFO] [1779658844.422462]: [PATROL-ABS] 目標X=+0.45 機器人X=-1.85 誤差=+2.30
[05:40:44] [INFO] [1779658844.922476]: [PATROL-ABS] 目標X=+0.45 機器人X=-1.95 誤差=+2.40
[05:40:45] [INFO] [1779658845.522357]: [PATROL-ABS] 目標X=+0.45 機器人X=-2.07 誤差=+2.52
[05:40:46] [INFO] [1779658846.022717]: [PATROL-ABS] 目標X=+0.45 機器人X=-2.16 誤差=+2.61
[05:40:46] [INFO] [1779658846.522701]: [PATROL-ABS] 目標X=+0.45 機器人X=-2.26 誤差=+2.71
[05:40:47] [INFO] [1779658847.122436]: [PATROL-ABS] 目標X=+0.45 機器人X=-2.38 誤差=+2.83
[05:40:47] [INFO] [1779658847.622484]: [PATROL-ABS] 目標X=+0.45 機器人X=-2.47 誤差=+2.92
[05:40:48] [INFO] [1779658848.222451]: [PATROL-ABS] 目標X=+0.45 機器人X=-2.59 誤差=+3.04
[05:40:48] [INFO] [1779658848.823168]: [PATROL-ABS] 目標X=+0.45 機器人X=-2.70 誤差=+3.15
[05:40:48] [0m[33m[WARN] [1779658848.959672]: [Fusion] 節點關閉，發送停止指令
