[03:18:21] [INFO] [1779736701.585168]: ==================================================
[03:18:21] [INFO] [1779736701.591577]: [Fusion] 節點啟動
[03:18:21] [INFO] [1779736701.598055]: [Fusion] 防守線 Y = 0.50 m
[03:18:21] [INFO] [1779736701.602445]: [Fusion] 訂閱 /ball_camera_world, /ball_lidar_world, /robot_pose
[03:18:21] [INFO] [1779736701.607400]: [Fusion] 發布 /cmd_vel
[03:18:21] [INFO] [1779736701.611524]: ==================================================
[03:18:21] [INFO] [1779736701.639327]: [Fusion] odom 原點記錄：X=-1.699
[03:18:21] [INFO] [1779736701.670367]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.00 誤差=+0.20
[03:18:22] [INFO] [1779736702.270582]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.00 誤差=+0.20
[03:18:22] [INFO] [1779736702.870259]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.00 誤差=+0.20
[03:18:23] [INFO] [1779736703.370294]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.00 誤差=+0.20
[03:18:23] [INFO] [1779736703.970209]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.01 誤差=+0.19
[03:18:24] [INFO] [1779736704.570226]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.01 誤差=+0.19
[03:18:25] [INFO] [1779736705.170214]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.02 誤差=+0.18
[03:18:25] [INFO] [1779736705.670423]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.02 誤差=+0.18
[03:18:26] [INFO] [1779736706.270308]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.02 誤差=+0.18
[03:18:26] [INFO] [1779736706.870608]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.03 誤差=+0.17
[03:18:27] [INFO] [1779736707.470202]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.03 誤差=+0.17
[03:18:27] [INFO] [1779736707.970773]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.04 誤差=+0.16
[03:18:28] [INFO] [1779736708.570280]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.04 誤差=+0.16
[03:18:29] [INFO] [1779736709.170112]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.04 誤差=+0.16
[03:18:29] [INFO] [1779736709.670163]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.04 誤差=+0.16
[03:18:30] [INFO] [1779736710.170249]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.05 誤差=+0.15
[03:18:30] [INFO] [1779736710.770279]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.05 誤差=+0.15
[03:18:31] [INFO] [1779736711.270352]: [PATROL-REL] 目標相對X=+0.20 目前相對X=+0.05 誤差=+0.15
[03:18:31] [33m[WARN] [1779736711.536766]: [Fusion] 定位收斂！var_x=0.0196 → 切換至絕對位置控制
[03:18:31] [INFO] [1779736711.538032]: [EKF] 初始化完成，球的初始位置: X=1.207 Y=1.052
[03:18:31] [INFO] [1779736711.570428]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.02 誤差=+0.43
[03:18:32] [INFO] [1779736712.170207]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.12 誤差=+0.33
[03:18:32] [INFO] [1779736712.670272]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.21 誤差=+0.24
[03:18:33] [INFO] [1779736713.170718]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.30 誤差=+0.15
[03:18:33] [INFO] [1779736713.770304]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.41 誤差=-0.86
[03:18:34] [INFO] [1779736714.270555]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.37 誤差=-0.82
[03:18:34] [INFO] [1779736714.870328]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.27 誤差=-0.72
[03:18:35] [INFO] [1779736715.370607]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.18 誤差=-0.63
[03:18:35] [INFO] [1779736715.970267]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.07 誤差=-0.52
[03:18:36] [INFO] [1779736716.570197]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.04 誤差=-0.41
[03:18:37] [INFO] [1779736717.170182]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.15 誤差=-0.30
[03:18:37] [INFO] [1779736717.670394]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.25 誤差=-0.20
[03:18:38] [INFO] [1779736718.270433]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.36 誤差=-0.09
[03:18:38] [INFO] [1779736718.870173]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.42 誤差=+0.87
[03:18:39] [INFO] [1779736719.370342]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.34 誤差=+0.79
[03:18:39] [INFO] [1779736719.970278]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.24 誤差=+0.69
[03:18:40] [INFO] [1779736720.470336]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.15 誤差=+0.60
[03:18:41] [INFO] [1779736721.070253]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.04 誤差=+0.49
[03:18:41] [INFO] [1779736721.570318]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.05 誤差=+0.40
[03:18:42] [INFO] [1779736722.170288]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.16 誤差=+0.29
[03:18:42] [INFO] [1779736722.670598]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.26 誤差=+0.19
[03:18:43] [INFO] [1779736723.270557]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.37 誤差=+0.08
[03:18:43] [INFO] [1779736723.870182]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.38 誤差=-0.83
[03:18:44] [INFO] [1779736724.470202]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.28 誤差=-0.73
[03:18:44] [INFO] [1779736724.970352]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.19 誤差=-0.64
[03:18:45] [INFO] [1779736725.470347]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.11 誤差=-0.56
[03:18:46] [INFO] [1779736726.070313]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.00 誤差=-0.45
[03:18:46] [INFO] [1779736726.570357]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.09 誤差=-0.36
[03:18:47] [INFO] [1779736727.170338]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.20 誤差=-0.25
[03:18:47] [INFO] [1779736727.770349]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.30 誤差=-0.15
[03:18:48] [INFO] [1779736728.270373]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.39 誤差=+0.84
[03:18:48] [INFO] [1779736728.770501]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.41 誤差=+0.86
[03:18:49] [INFO] [1779736729.370624]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.31 誤差=+0.76
[03:18:49] [INFO] [1779736729.870797]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.22 誤差=+0.67
[03:18:50] [INFO] [1779736730.470315]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.11 誤差=+0.56
[03:18:50] [INFO] [1779736730.970430]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.02 誤差=+0.47
[03:18:51] [INFO] [1779736731.471005]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.08 誤差=+0.37
[03:18:52] [INFO] [1779736732.070290]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.19 誤差=+0.26
[03:18:52] [INFO] [1779736732.570542]: [PATROL-ABS] 目標X=+0.45 機器人X=+0.28 誤差=+0.17
[03:18:53] [INFO] [1779736733.170500]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.39 誤差=-0.84
[03:18:53] [INFO] [1779736733.770372]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.37 誤差=-0.82
[03:18:54] [INFO] [1779736734.270959]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.28 誤差=-0.73
[03:18:54] [INFO] [1779736734.870692]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.18 誤差=-0.63
[03:18:55] [INFO] [1779736735.370625]: [PATROL-ABS] 目標X=-0.45 機器人X=+0.09 誤差=-0.54
[03:18:55] [INFO] [1779736735.870953]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.00 誤差=-0.45
[03:18:56] [INFO] [1779736736.470826]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.11 誤差=-0.34
[03:18:57] [INFO] [1779736737.070762]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.23 誤差=-0.22
[03:18:57] [INFO] [1779736737.670798]: [PATROL-ABS] 目標X=-0.45 機器人X=-0.34 誤差=-0.11
[03:18:58] [INFO] [1779736738.170692]: [PATROL-ABS] 目標X=+0.45 機器人X=-0.42 誤差=+0.87
